,seeds,a82fed9,5d53d16,1a8d73d,5929c6b,228b9fd,613b70d,max,vs max,vs others,win
0,1,1215,1215,1215,1204,1043,1188,1309,0.9281894576012223,1.0,0.5
1,2,1365046,1364979,1356675,1122198,1093058,1082897,1971207,0.692492467812868,1.000049085004238,0.75
2,3,380144,380144,380797,265041,239548,263851,571836,0.6647780132765339,0.998285175565984,0.5
3,4,10020,10020,10016,9715,9029,9281,10504,0.953922315308454,1.0,0.5
4,5,113979,111021,109889,76281,51761,71349,155870,0.7312439853724257,1.0266436079660606,0.6
5,6,5633,5633,5603,5488,5159,5548,6016,0.9363364361702128,1.0,0.5833333333333334
6,7,642773,636153,642408,472058,454084,442575,824230,0.7798466447472187,1.0005681747425312,0.6428571428571429
7,8,40098,40098,40606,38413,36435,37126,46661,0.8593472064464971,0.987489533566468,0.5625
8,9,61727,61158,61383,47350,37452,43630,78984,0.7815127114352274,1.0056041575028918,0.6111111111111112
9,10,8111,7842,7728,6483,5279,2092,11431,0.7095617181348963,1.0343024738587094,0.65
10,11,187606,187606,187113,183262,177865,180010,196325,0.9555889468992742,1.0,0.6363636363636364
11,12,389512,385603,386667,314293,292980,296489,457599,0.8512081538639726,1.0073577522777997,0.6666666666666666
12,13,92129,90492,91768,72707,61412,64488,122447,0.7523989971171201,1.0039338331444512,0.6923076923076923
13,14,118167,118167,117686,107466,102269,105451,137539,0.8591526766953373,1.0,0.6785714285714286
14,15,10545,10413,10364,10126,9875,9870,12036,0.8761216350947159,1.0126764621146644,0.7
15,16,637517,637931,652713,544819,523116,508837,835721,0.7628347259432274,0.9767187109801705,0.65625
16,17,32676,32719,32466,28267,21968,25597,38872,0.8406050627701173,0.9986857789052233,0.6176470588235294
17,18,189890,190070,189952,168451,146124,157451,222656,0.8528402558206382,0.9990529804808754,0.5833333333333334
18,19,111558,111558,111394,105437,100627,103665,120499,0.9258002141096606,1.0,0.5789473684210527
19,20,453605,455235,458990,353915,323281,303596,662504,0.6846826585197976,0.9882677182509423,0.55
20,21,14115,14104,14075,13601,12508,13648,14859,0.9499293357561074,1.0007799205899035,0.5714285714285714
21,22,115953,115856,111879,95630,82447,81606,137448,0.8436135847738782,1.0008372462367077,0.5909090909090909
22,23,22607,22468,22129,17781,14171,17930,25254,0.8951849212006019,1.0061865764643048,0.6086956521739131
23,24,117729,117760,117450,113687,92384,103499,126819,0.9283230430771414,0.9997367527173913,0.5833333333333334
24,25,161050,160912,160081,132519,112925,121894,197826,0.8140992589447292,1.0008576116138013,0.6
25,26,202104,202104,202099,190745,186743,190290,213283,0.9475860710886475,1.0,0.5961538461538461
26,27,37482,37490,35427,33818,27198,30660,42550,0.8808930669800235,0.9997866097626034,0.5740740740740741
27,28,295307,290944,290177,263215,251761,221857,502994,0.5870984544547251,1.0149960129784426,0.5892857142857143
28,29,49084,48625,48408,36556,28383,31163,73584,0.6670471841704718,1.009439588688946,0.603448275862069
29,30,20065,20065,20061,19377,18739,19085,21111,0.9504523708019516,1.0,0.6
30,31,4310,4304,4270,4295,3601,4107,4600,0.9369565217391305,1.0013940520446096,0.6129032258064516
31,32,23858,23857,23834,20446,17428,16036,29857,0.7990755936631275,1.0000419164186611,0.625
32,33,860513,860463,866300,734924,710585,650133,1089031,0.7901639163623442,0.9933198660971949,0.6060606060606061
33,34,3466,3466,3424,3427,2968,3359,3654,0.9485495347564313,1.0,0.6029411764705882
34,35,31817,31491,30357,26408,25270,25150,44206,0.7197439261638692,1.0103521641103808,0.6142857142857143
35,36,33718,33412,33350,31344,28048,30936,39202,0.860109178103158,1.0091583862085478,0.625
36,37,270386,270196,269158,243278,228075,220915,314644,0.8593394439429959,1.0007031932375017,0.6351351351351351
37,38,762851,765287,762070,691121,675126,691312,872947,0.8738800866490176,0.9968168804644532,0.618421052631579
38,39,73290,73188,73171,60587,57322,56673,93342,0.7851770906987209,1.001393671093622,0.6282051282051282
39,40,113006,112798,114437,107363,101218,104551,129555,0.8722627455520822,0.9874953030925313,0.6125
40,41,396479,396277,395209,379259,365170,364715,426820,0.9289138278431189,1.0005097444464353,0.6219512195121951
